Cliente,Grupo económico,Ventas Netas (USD),Provincia,Localidad,Cód. Postal de entrega,Direccion completa,Latitud,Longitud
VICTOR MASSON TRANSPORTES CRUZ DEL SUR S.A.,VICTOR MASSON TRANSPORTES CRUZ DEL SUR S.A.,93650.67,CAPITAL FEDERAL,CAPITAL FEDERAL,1771,"1771, CAPITAL FEDERAL, CAPITAL FEDERAL, Argentina",-34.6083696,-58.4440583
SOM LOGISTICA S.A.,SOM LOGISTICA S.A.,93561.27,CAPITAL FEDERAL,CAPITAL FEDERAL,1678,"1678, CAPITAL FEDERAL, CAPITAL FEDERAL, Argentina",-34.6083696,-58.4440583
ANGEL E BIASUSSI SRL,ANGEL E BIASUSSI SRL,89620.78,CHUBUT,COMODORO RIVADAVIA,9000,"9000, COMODORO RIVADAVIA, CHUBUT, Argentina",-45.8453347,-67.4996476
COVELIA S.A.,COVELIA S.A.,82997.27,CAPITAL FEDERAL,CAPITAL FEDERAL,1630,"1630, CAPITAL FEDERAL, CAPITAL FEDERAL, Argentina",-34.6083696,-58.4440583
SACDE SOCIEDAD ARGENTINA DE CONSTRUCCION Y DESARRO,SACDE SOCIEDAD ARGENTINA DE CONSTRUCCION Y DESARRO,81840.72,BUENOS AIRES,CABA,1645,"1645, CABA, BUENOS AIRES, Argentina",-34.6397472,-58.4446924
"EMPRESA DE TRANSPORTES DON PEDRO S R L,","EMPRESA DE TRANSPORTES DON PEDRO S R L,",81724.79,BUENOS AIRES,HURLINGHAM,1686,"1686, HURLINGHAM, BUENOS AIRES, Argentina",-34.5933423,-58.6378405
CIAGESER S.A.,GRUPO 9 DE JULIO,78208.45,TUCUMAN,SAN MIGUEL DE TUCUMAN,4000,"4000, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",-26.8234504,-65.2118043
"CLIBA INGENIERIA AMBIENTAL S.A.-ORMAS AM, .",GRUPO CLIBA,76920.73,SANTA FE,SANTA FE,3000,"3000, SANTA FE, SANTA FE, Argentina",-33.7324581,-62.0104326
ECO MINERA S A,ECO MINERA S A,73799.98,SAN JUAN,SAN JUAN,5400,"5400, SAN JUAN, SAN JUAN, Argentina",-31.5286186,-68.5499227
"URBASER ARGENTINA SA  U.T.E.,",GRUPO TOSA-OLIVOS,71757.08,BUENOS AIRES,MORON,1708,"1708, MORON, BUENOS AIRES, Argentina",-34.6598708,-58.6143948
